symptom,constitution,cause,acupoint1_name,acupoint1_code,acupoint1_position,acupoint1_method,acupoint1_image,acupoint2_name,acupoint2_code,acupoint2_position,acupoint2_method,acupoint2_image,herb_name,herb_efficacy,herb_processing,tea_recipe
변비,소양인,위장과 대장의 열독(火)이 한데 엉켜 대변의 수분을 전부 증발시켰을 때 발생하는 전형적인 조열성 극심한 변비입니다. 변이 단단해 똥글똥글 굴러가는 형태로 나타납니다.,지구 (支溝),TE6,손등 손목 주름에서 위로 3치 올라간 두 뼈 사이의 오목한 곳,대장의 수분 조절과 삼초의 열을 내려 대변 통로를 시원하게 열어주는 변비 치료 최고의 요혈입니다. 다소 강한 압력으로 지압봉 지압을 합니다.,TE6.png,음릉천 (陰陵泉),SP9,종아리 안쪽 정강이뼈 아래 무릎 관절 바로 아래 오목하게 만나는 부위,"과열된 장의 비정상적 열을 해수/해독하여 진액이 대장으로 고르게 돌 수 있도록 도우며, 손가락으로 꾹꾹 자극합니다.",SP9.png,숙지황 (熟地黃),소양인 변비 치료에 있어 장에 윤활유를 바르듯 수분과 신장의 정혈을 대폭 쏟아부어 대변이 스스로 미끄러져 나오게 돕습니다.,생지황을 막걸리에 적셔 시루에 9번 찌고 말리는 정성(구증구포)을 거쳐 검고 끈적한 숙지황으로 법제하여 독성을 전면 제어하고 효능을 극대화해 씁니다.,숙지황 6g을 뜨거운 물 500ml에 은근히 우려내어 깊고 진한 차로 음용합니다.
변비,태양인,하체 힘이 약하고 척추 골격의 압박으로 인해 하초의 대장 연동 기능을 담당하는 자율신경 기운이 원활하게 밑으로 도달하지 못해 발생하는 무력성 변비입니다.,삼음교 (三陰交),SP6,안쪽 복사뼈 중심에서 위로 3치 올라간 뼈 뒷가장자리 오목한 부위,태양인의 가장 약한 하반신과 신장/간 기운을 함께 자극하여 하초 대장 소통 운동을 유도합니다. 지긋이 깊게 5초간 자극합니다.,SP6.png,신수 (腎兪),BL23,허리 둘째 허리뼈 가시돌기 아래에서 가쪽으로 1.5치 부위,신장의 원기를 자극해 하반신으로 통하는 척추 신경과 골반저근 혈류를 살려 쾌변을 유도합니다. 허리를 문지르거나 꾹 누릅니다.,BL23.png,모과 (木瓜),하체 근육과 장 평활근의 긴장을 부드럽게 이완시켜 장내 정체된 노폐물의 활발한 하행 소통을 촉진합니다.,모과를 4등분하여 한가운데 씨를 긁어 버리고 얇게 저민 뒤 가벼운 증기에 살짝 찐 다음 햇볕에 건조하여 약제로 가공합니다.,말린 모과 10g과 약간의 율무를 물 1L와 우려내어 시원하게 복용합니다.
두근거림,태음인,태음인의 대표적인 기혈 순환 정체증이자 전조 증상인 정충증(怔忡症)입니다. 가슴이 이유 없이 쿵쾅거리고 울렁거리며 기가 막혀 답답해지는 증상입니다.,태연 (太淵),LU9,"손목 안쪽 가로주름의 노쪽(엄지손가락 쪽), 요골동맥이 뛰는 오목한 부위",태음인의 약한 폐 기운을 자극해 전신의 기 소통을 강력하게 이끌고 불안해진 심장을 감싸 안아 안정을 찾게 합니다. 부드럽게 지압합니다.,LU9.png,신문 (神門),HT7,손목 안쪽 주름의 안쪽(새끼손가락 쪽) 끝부분 틈새의 오목한 부위,심장 신경과 직접 교류하는 요혈로 흥분되거나 불안정한 기와 혈을 뚝 가라앉힙니다. 손톱 끝으로 지긋이 꾹 눌러줍니다.,HT7.png,"산조인 (酸棗仁, 대추나무씨)","천연 신경안정제로 불리며, 태음인의 가슴 떨림과 불안증, 수면 장애를 조절하는 최고의 영약입니다.",맷돌이나 팬에 산조인 씨앗을 노릇노릇하고 바삭해질 때까지 '볶아서(초법)' 사용해야 약성이 우러나며 불면과 두근거림 완화 효과가 나타납니다. 생으로 쓰면 반대로 작용할 수 있습니다.,볶은 산조인 10g을 살짝 짓이겨 물 800ml에 넣고 달여 잠들기 1시간 전에 따뜻하게 차로 마십니다.
두근거림,소음인,"전반적인 혈액(血)과 심장 양기가 허약하여, 아주 조그만 소리나 사소한 외부 스트레스에도 가슴이 깜짝깜짝 놀라며 심하게 뛰는 증상(경계증)이 나타납니다.",내관 (內關),PC6,손목 안쪽 주름의 정중앙에서 팔 쪽으로 약 2치 올라간 두 힘줄 사이,심포(심장 보호막)의 혈류를 늘려 약해진 심장을 튼튼하게 감싸 안고 구토감이나 가슴 떨림을 부드럽게 잠재웁니다.,PC6.png,기해 (氣海),CV6,배꼽 아래 1.5치 내려간 부위,단전의 약해진 양기를 원천 보강하여 심장의 과열된 가짜 열을 하초로 부드럽게 가라앉혀 평정을 유도합니다.,CV6.png,당귀 (當歸),소음인의 부족한 피(정혈)를 가득 보충하여 심장 근육과 뇌 혈류로 가는 산소 공급을 풍부하게 돕습니다.,"당귀의 매운맛과 특이 자극 성분을 완화하고 약성을 고르게 하기 위해 '막걸리(청주)를 골고루 뿌려 촉촉하게 재운 뒤 가마솥에 살짝 볶는(주초, 酒炒)' 법제를 진행합니다.",주초 가공한 당귀 8g과 말린 대추 2알에 물 700ml를 넣고 끓여 하루에 서너 번 차로 마십니다.
두근거림,소양인,몸 안의 조절되지 않는 번조증(煩躁症 - 가슴에 뜨거운 화가 꽉 차서 손발을 가만히 두지 못하고 심장이 사납게 뛰는 병증)으로 인해 유발됩니다.,내관 (內關),PC6,"손목 안쪽 두 힘줄 사이, 손목 주름 위로 약 2치 부위",심포의 과열된 심열(心熱)을 가라앉혀 맥박의 폭주를 진정시키고 흥분된 자율신경을 다스립니다. 가볍게 호흡하며 3분간 누릅니다.,PC6.png,신수 (腎兪),BL23,"허리 부위, 둘째 허리뼈 아래에서 가쪽으로 1.5치 부위",소양인의 극도로 말라붙은 신장의 차가운 수(水) 기운을 북돋워 위쪽 심장의 불(火)을 자연스럽게 끄는 '수승화강'의 핵심 요혈입니다.,BL23.png,"지황 (地黃, 생지황)",피 속의 뜨거운 심열과 염증을 즉각 식혀주고 심장 주변의 모세혈관 열 압력을 떨어뜨려 마음을 평온하게 해 줍니다.,"생지황을 깨끗이 씻어 얇게 썰어 햇볕에 완벽히 말리거나(건지황), 꿀과 술을 사용해 가볍게 법제하여 소양인의 심장의 불을 다스리는 데 사용합니다.",말린 건지황 6g을 뜨거운 물 500ml에 은근하게 차처럼 오랫동안 우려 한 김 식혀서 시원하게 음용합니다.
두근거림,태양인,"극도의 정신적 분노나 과로로 인해 상승 기운이 최고조에 달했을 때, 심장이 쿵쾅거리며 압력이 머리 끝까지 쏠려 가슴이 찢어지듯 팽창하는 병증입니다.",소상 (少商),LU11,엄지손가락 손톱 안쪽 모서리 가쪽으로 1mm 지점,과열된 폐 기운의 출구를 강하게 흔들며 열어주어 가슴의 답답함과 맥박 안정을 즉각 도모합니다. 손끝 지압기로 세게 자극합니다.,LU11.png,신문 (神門),HT7,손목 안쪽 주름의 안쪽(새끼손가락 쪽) 끝부분 오목한 부위,심장으로 가는 맥맥을 진정시키고 기맥의 솟구침을 차분하게 붙잡아 가슴속 답답함을 순하게 가라앉힙니다.,HT7.png,오가피 (五加皮),"치솟은 흥분성 자율신경 기운을 온화하게 잡아주고, 전신의 흐름을 전반적으로 가라앉히는 데 특효입니다.",잘 자란 가시오갈피의 뿌리 껍질을 씻고 얇게 편 썬 후 약한 소금물에 한 시간 동안 재웠다가 마른 팬에 가볍게 볶아(염수초) 성질을 부드럽게 바꿉니다.,가공한 오가피 12g을 물 1L와 함께 진하게 끓여 물처럼 음용합니다.
요통,태음인,몸에 과도한 습기(습담)와 노폐물이 허리 뒷근육과 척추 뼈 관절 마디사이에 눌러앉아 혈류를 방해해 발생합니다. 날씨가 흐리거나 비가 올 때 허리가 찌뿌둥하고 묵직한 요통이 전형적입니다.,위중 (委中),BL40,무릎 뒤쪽 오금 가로주름의 정중앙 부위,허리 부위의 꽉 뭉친 혈류와 기운 정체를 발아래로 시원하게 터트려주는 '요통 최고의 구급 명혈'입니다. 무릎을 가볍게 세운 뒤 손가락 힘으로 오금을 꾹 자극해 마사지합니다.,BL40.png,태충 (太衝),LR3,첫째와 둘째 발가락뼈 사이 위쪽 오목한 곳,간과 신장의 뭉친 기혈 소통을 도우며 척추를 둘러싸고 있는 후두근육과 허리 근막의 유연한 이완을 유도합니다.,LR3.png,두충 (杜仲),척추 뼈와 허리 인대를 강건하게 하여 노화성 허리 통증이나 요통을 진정시키는 한방 최고의 보골제(補骨劑)입니다.,"두충 껍질 안쪽의 가느다란 하얀 고무 실 같은 성분(실, 絲)을 완전히 끊어야 약효가 우러납니다. 따라서 '약한 소금물에 버무려 껍질의 하얀 실이 끊어질 때까지 가마솥에 까맣게 그을려 볶아내는(염소초, 鹽炙炒)' 정교한 법제 요령이 반드시 요구됩니다.",염소초하여 실을 완전히 제거한 두충 10g에 물 800ml를 넣고 끓여 하루에 세 잔 차로 나누어 마십니다.
요통,소음인,신장의 양기가 극도로 차가워져 허리 뼈 주변의 모세혈관이 수축되고 척추립근이 뻣뻣하게 얼어붙어 붓는 냉성 요통이 주로 나타납니다. 허리를 핫팩 등으로 따뜻하게 해 주면 아픔이 가시는 특징이 있습니다.,기해 (氣海),CV6,배꼽 아래 1.5치 내려간 부위,허리 전면 단전에 양기를 불어넣어 차갑게 얼어붙은 척추립근 뒤쪽까지 온기가 순환하게 만듭니다. 손바닥을 부벼 따뜻하게 올려 누릅니다.,CV6.png,삼음교 (三陰交),SP6,안쪽 복사뼈 중심에서 위로 3치 올라간 뼈 뒷가장자리 안쪽,골반 내부 순환과 허리 골반기저근의 통증 유발 물질을 부드럽게 청소해 주는 자극을 손끝으로 가해 줍니다.,SP6.png,파극천 (巴戟天),아랫배와 신장 주변에 강력한 아궁이 불을 지피듯 양기를 가득 채워 냉성 척추 요통을 깨끗이 날려버립니다.,파극천 뿌리 안쪽의 단단한 '심지(목질부)를 반드시 제거(去心)'해야 합니다. 그렇지 않으면 심장의 과열을 유발할 수 있습니다. 감초 끓인 물에 푹 달인 후 칼로 눌러 심지를 뺀 뒤 완전히 말려 씁니다.,손질된 파극천 6g에 물 600ml를 붓고 끓여 우려내어 하루에 두 번 차로 복용합니다.
요통,소양인,비대신소의 체질로 장부 중 신장(腎) 기운이 가장 빈약하여 허리 등뼈와 골반 주변을 지탱하는 진액과 근골의 보강 기운이 쉽게 마르고 약화되어 요통과 무릎 통증이 상시적으로 찾아옵니다.,신수 (腎兪),BL23,허리 뒤쪽 둘째 허리등뼈 아래 양옆으로 손가락 두 마디 너비(1.5치) 부위,약해진 소양인의 신장 원기를 골반 부위 뒤에서 직접 수혈해 주듯 채우는 요통 최고의 요혈입니다. 엄지손가락으로 척추 방향을 향해 지긋이 꾹 자극해 마사지합니다.,BL23.png,족삼리 (足三里),ST36,"독비혈 아래로 3치 내려간 곳, 정강이뼈 가쪽 부위",상체 열을 무릎 아래로 내려 허리 척추 압박 부위로 가는 기의 울체를 전신 골격계로 분산시킵니다. 묵직하게 누릅니다.,ST36.png,산수유 (山茱萸),허리를 지탱하는 든든한 뼈대 기운인 '신수'를 풍부하게 충전해 주어 만성 요통을 뿌리 뽑는 명약입니다.,반드시 씨앗을 까서 빼내고 가공해야 부작용이 없습니다. 과육만 발라 건조한 후 사용하면 소양인의 하체 약화와 허리 시림 요통에 훌륭하게 작용합니다.,씨를 제거한 산수유 12g을 물 1L와 우려내어 매일 보리차 대용으로 복용합니다.
요통,태양인,폐대간소로 인해 하체가 극도로 빈약하고 목덜미에만 기세가 쏠려 척추 뒤쪽을 든든히 받쳐줄 척추 기립근과 골반 인대가 영양을 공급받지 못해 주저앉듯 발생합니다.,신수 (腎兪),BL23,허리 뒤쪽 둘째 허리뼈 가쪽 1.5치 부위,태양인의 빈약한 신장과 하체 척추뼈 관절을 직접적으로 강화시키는 명혈입니다. 양손을 비벼 허리를 매일 부드럽게 비벼줍니다.,BL23.png,삼음교 (三陰交),SP6,안쪽 복사뼈 중심에서 위로 3치 올라간 정강이뼈 뒷가장자리 안쪽,하체 음혈을 풍부하게 생성하여 척추와 허리 엉덩이 근육마름 증상(태양인 전형증)을 방지하도록 돕습니다.,SP6.png,오가피 (五加皮),근육과 인대를 질기고 견고하게 강화시켜 하체 무력증 및 척추 관절 쇠약형 요통을 다스립니다.,"가시오갈피의 껍질을 씻어 편 썬 뒤, 볶는 염수초 가공을 통해 신장을 자극하는 따뜻하고 이완 뼈 보강 성질을 끌어올려 약용합니다.",염수초한 오가피 12g에 물 1L를 붓고 오랜 시간 끓여 물 대신 자주 나누어 마십니다.
